X,Y,OBJECTID,FACILITY_STATUS,NAME,CAD_NAME,AKA,TYPE,UNIT,CDF_UNIT,COUNTY,OWNER,FUNDING,STAFFING,ADDRESS,CITY,ZIP,PHONE_NUM,LAT,LON
-13535576.3301,4839749.5295,11,Active,Upper Ridge FS,BTC Upper Ridge FS,Station 33,FSA,BTC,BTU,Butte,COUNTY,A,P,14164 Skyway,Magalia,95954,530-872-6323,39.81951176,-121.59215097
-13560516.4399,4824904.7077,12,Active,South Chico FS,BTC South Chico FS,Station 44,FSA,BTC,BTU,Butte,COUNTY,A,P,2344 Fair St,Chico,95928,530-891-2787,39.71701141,-121.81619179
-13558742.7211,4814294.9176,13,Active,Durham FS,BTC Durham FS,Station 45,FSA,BTC,BTU,Butte,COUNTY,A,C,2367 Campbell St,Durham,95938,530-891-2788,39.64365956,-121.8002582
-13515157.4598,4777747.8852,14,Active,Bangor FS,BTC Bangor FS,Station 55,FSB,BTU,BTU,Butte,COUNTY,B,C,7540 Oro Bangor Hwy,Bangor,95914,530-679-2411,39.39039192,-121.40872513
-13530391.9054,4784261.5813,15,Active,Palermo FS,BTC Palermo FS,Station 72,FSA,BTC,BTU,Butte,COUNTY,A,P,2290 Palermo Rd,Palermo,95968,530-538-7565,39.43559886,-121.54557849
-13523803.2684,4795506.4103,16,Active,Kelly Ridge FS,BTC Kelly Ridge FS,Station 64,FSA,BTC,BTU,Butte,COUNTY,A,C,22 Walnut Ave,Oroville,95966,530-538-7228,39.51357222,-121.48639175
-13552834.2223,4792850.3787,17,Active,Richvale FS,BTC Richvale FS,Station 71,FSA,BTC,BTU,Butte,COUNTY,A,C,1236 School St,Richvale,95974,530-882-4304,39.4951628,-121.74718125
-13548590.2701,4781126.1325,18,Active,Biggs FS,BTC Biggs FS,Station 73,FSA,BTC,BTU,Butte,COUNTY,A,P,434 B St,Biggs,95917,530-868-5834,39.41384161,-121.70905718
-13546004.4954,4773873.5043,19,Active,Gridley FS,BTC Gridley FS,Station 74,FSA,BTC,BTU,Butte,COUNTY,A,C,47 East Gridley Rd,Gridley,95948,530-846-5711,39.36348872,-121.68582877
-13628720.1906,4502150.1144,20,Active,Half Moon Bay FS,CFR Half Moon Bay FS,Station 40,FSA,CZU,CZU,San Mateo,FIRE DISTRICT,A,P,1191 Main St.,Half Moon Bay,94019,650-726-8290,37.45093739,-122.4288765
-13612820.7224,4505256.4916,21,Active,Cordilleras FS,CFS Cordilleras,Station 18,FSA,CZU,CZU,San Mateo,COUNTY,A,P,300 Edmonds Rd.,Redwood City,94062,650-366-7416,37.4730872,-122.28604915
-13633093.5328,4509162.0031,22,Active,El Granada FS,CFR El Granada FS,Station 41,FSA,CZU,CZU,San Mateo,FIRE DISTRICT,A,P,555 Obispo Rd.,El Granda,94018,650-726-8291,37.50239203,-122.4681629
-13638419.5866,4513562.7074,23,Active,Point Montara FS,CFR Point Montara,Station 44,FSA,CZU,CZU,San Mateo,FIRE DISTRICT,A,P,501 Stetson St.,Moss Beach,94038,650-728-3022,37.53228193,-122.51600766
-13552250.878,4435518.4541,24,Active,Pajaro Valley FS,PAJ Pajaro Valley FS,Station 45,FSA,CZU,CZU,Santa Cruz,FIRE DISTRICT,A,P,762 Casserly Rd.,Watsonville,95076,831-722-6188,36.97424707,-121.74194098
-13560671.781,4420517.9626,25,Active,Pajaro Dunes FS,PAD Pajaro Dunes FS,Station 42,FSA,CZU,CZU,Santa Cruz,FIRE DISTRICT,A,P,2661 Beach Rd.,Watsonville,95076,831-722-7179,36.86613936,-121.81758724
-13401453.3666,4405898.2188,26,Active,Station 96 ,FCO Mendota 96,,FSA,FCO,FKU,Fresno,FIRE DISTRICT,A,P,101 Mccabe,Mendota,93640,559-655-4107,36.76137497,-120.38730389
-13385609.9098,4389386.8444,27,Active,Station 95 ,FCO Tranquility 95,,FSA,FCO,FKU,Fresno,FIRE DISTRICT,A,P,25101 W. Morton,Tranquility,93668,559-698-5500,36.64245526,-120.24497969
-13384066.9125,4335642.8559,28,Active,Station 94 ,FCO Harris Ranch 94,,FSA,FCO,FKU,Fresno,FIRE DISTRICT,A,P,24125 W. Dorris,Coalinga,93210,559-935-1323,36.25410337,-120.23111871
-13369945.6255,4328814.062,29,Active,Station 93 ,FCO Huron 93,,FSA,FCO,FKU,Fresno,FIRE DISTRICT,A,P,36421 S. Lassen,Huron,93234,559-945-9604,36.2046197,-120.10426503
-13340505.1179,4374715.668,30,Active,Station 90 ,FCO Caruthers 90,,FSA,FCO,FKU,Fresno,FIRE DISTRICT,A,P,2701 W. Tahoe,Caruthers,93609,559-864-3211,36.53663488,-119.83979645
-13334010.6752,4390513.7663,31,Active,Station 89 ,FCO Easton 89,,FSA,FCO,FKU,Fresno,FIRE DISTRICT,A,P,5810 S. Cherry,Fresno,93706,559-264-4256,36.65057749,-119.78145588
-13311996.0822,4376188.4676,32,Active,Staton 83 ,FCO Selma 83,,FSA,FCO,FKU,Fresno,FIRE DISTRICT,A,P,11500 E. Mt View,Selma,93662,559-896-2722,36.54726443,-119.58369543
-13325718.6809,4438076.0379,33,Active,Station 72,FCO Millerton 72,Millerton,FSA,FCO,FKU,Fresno,STATE,A,P,4091 Millerton Road,Friant,93626,559-822-2389,36.9925997,-119.70696763
-13324208.0481,4418436.8065,34,Active,Station 85,FCO Clovis 85,,FSA,FCO,FKU,Fresno,FIRE DISTRICT,A,P,1392 Nees,Clovis,93611,559299-7322,36.85155849,-119.69339738
-13329535.5075,4398160.4317,35,Active,Station 87,FCO South Fresno 87,,FSA,FCO,FKU,Fresno,FIRE DISTRICT,A,P,4706 East Drummond,Fresno,93727,559-485-2800,36.70566805,-119.74125477
-13311511.3677,4412337.6928,36,Active,Station 86,FCO Clovis Lakes 86,,FSA,FCO,FKU,Fresno,FIRE DISTRICT,A,P,4925 North Nelson,Clovis,93619,559-297-0506,36.80770398,-119.57934116
-13315551.8757,4392344.5444,37,Active,Station 82,FCO Del Rey 82,,FSA,FCO,FKU,Fresno,FIRE DISTRICT,A,P,9700 East American,Del Rey,93616,559-888-2898,36.66377095,-119.61563766
-13292190.5238,4439991.8469,38,Active,Station 75,FCO Tollhouse 75,,FSA,FCO,FKU,Fresno,FIRE DISTRICT,A,V,23087 Tollhouse Road,Tollhouse,93619,,37.0063443,-119.40577907
-13305886.7926,4437551.7654,39,Active,Station 74,FCO Morgan Canyon 74,,FSA,FCO,FKU,Fresno,FIRE DISTRICT,A,P,15339 Skylan Drive,Clovis,93619,,36.98883796,-119.52881475
-13310234.6167,4441098.9011,40,Active,Station 73,FCO Table MT 73,Hurley,FSAB,FCO,FKU,Fresno,FIRE DISTRICT,C,V,25627 North Auberry Road,Clovis,93619,559-855-2244,37.01428553,-119.56787191
-13281591.5571,4410130.5243,41,Active,Station 77,FCO Wounder Valley 77,,FSA,FCO,FKU,Fresno,FIRE DISTRICT,A,V,6812 West Elwood,Sanger,93657,,36.79182755,-119.31056693
-13307062.0948,4385145.0548,42,Active,Station 71,FCO Parlier 71,,FSA,FCO,FKU,Fresno,FIRE DISTRICT,A,V,1300 West Parlier,Parlier,93648,559-646-7100,36.61187492,-119.53937266
-13660890.9738,4702058.1015,43,Active,Loch Lomond FS 64,MDT Loch Lomond FS,Station 64,FSA,LNU,LNU,Lake,FIRE DISTRICT,A,V,10331 Redwood Rd,Loch Lomond,95426,707-928-5272,38.8629633,-122.71787156
-13650272.1676,4686446.4864,44,Active,Middletown FS,MDT Middletown FS,Station 60,FSA,LNU,LNU,Lake,FIRE DISTRICT,A,C,21095 Highway 175 ,Middletown,95461,707-987-9478,38.7536538,-122.62248121
-13642666.3634,4692594.0723,45,Active,Hidden Valley FS 63,MDT Hidden Valley FS,Station 63,FSA,LNU,LNU,Lake,FIRE DISTRICT,A,P,19287 Hartman Rd,Hidden Valley Lake,95461,707-785-3349,38.79670748,-122.5541571
-13661199.6679,4696212.567,46,Active,kelsey-Cobb FS 34,MDT Cobb FS,Station 62,FSA,LNU,LNU,Lake,FIRE DISTRICT,A,P,16547 Hwy 175,Cobb,95426,707-928-5411,38.82203692,-122.72064461
-13620762.8256,4635372.5829,47,Active,Yountville FS 12,NPA Yountville FS,Station 12,FSA,LNU,LNU,Napa,COUNTY,A,P,7401 Solano Ave,Yountville,94599,707-944-8887,38.39496159,-122.35739428
-13425396.4918,4487268.6602,48,Active,Atwater City Fire Station 41,ATW 41,Atwater City Fire Station 41,FSA,ATW,MMU,Merced,CITY,A,P,699 Broadway,Atwater,95301,209-357-6354,37.344735,-120.60238864
-13421816.0473,4487895.8484,49,Active,Atwater City Fire Station 42,ATW 42,Atwater City Fire Station 42,FSA,ATW,MMU,Merced,CITY,A,P,2006 Ave Two,Atwater,95301,209-357-6724,37.349214,-120.57022496
-13362400.9522,4432861.4281,50,Active,Madera County Station 1,MDC 1,Madera,FSA,MDC,MMU,Madera,COUNTY,A,P,14225 Rd 28,Madera,93637,559-661-3007,36.9551759,-120.03649008
-13332220.2171,4463634.2264,51,Active,Madera County Station 10,MDC 10,Yosemite Lakes Park,FSL,MDC,MMU,Madera,COUNTY,L,V,29453 Glacier Dr,Coarsegold,93614,559-658-7551,37.17575752,-119.76537192
-13301740.9563,4471668.7545,52,Active,Madera County Station 11,MDC 11,North Fork,FSL,MDC,MMU,Madera,COUNTY,L,V,33400 Douglas Ranger Staton,North Fork,93643,559-877-2600,37.23324392,-119.49157206
-13321324.0293,4486644.3575,53,Active,Madera County Station 12,MDC 12,Oakhurst,FSA,MDC,MMU,Madera,COUNTY,A,P,48355 Liberty Dr,Oakhurst,93644,559-683-4808,37.34027628,-119.6674898
-13311878.0904,4486367.1289,54,Active,Madera County Station 14,MDC 14,Bass Lake,FSL,MDC,MMU,Madera,COUNTY,L,V,40601 Rd 274,Bass Lake,93604,559-642-3616,37.33829627,-119.58263549
-13347677.8857,4470281.109,55,Active,Madera County Station 15,MDC 15,Raymond,FSL,MDC,MMU,Madera,COUNTY,L,V,32604 Rd 600,Raymond,93653,559-689-3016,37.22331859,-119.90423052
-13316292.2816,4495305.2096,56,Active,Madera County Station 18,MDC 18,Cedar Valley,FSL,MDC,MMU,Madera,COUNTY,L,V,44907 Lakeside Dr,Oakhurst,93644,559-683-0600,37.40210687,-119.62228884
-13348255.6857,4434184.579,57,Active,Madera County Station 19,MDC 19,Bonadelle Madera Ranchos,FSA,MDC,MMU,Madera,COUNTY,A,P,35141 Bonadelle Ave,Madera,93636,559-645-1399,36.96467352,-119.90942099
-13387132.3073,4456236.714,58,Active,Madera County Station 2,MDC 2,Chowchilla,FSL,MDC,MMU,Madera,COUNTY,L,V,141 S 2Nd St,Chowchilla,93610,559-665-2552,37.12279023,-120.25865562
-13366616.921,4446844.9067,59,Active,Madera County Station 3,MDC 3,Madera Acres,FSA,MDC,MMU,Madera,COUNTY,A,P,Tbd,Madera,93638,559-661-0507,37.05549,-120.07436277
-13323816.3244,4468669.0383,60,Active,Madera County Station 8,MDC 8,Chukchansi,FSA,MDC,MMU,Madera,COUNTY,A,P,47050 Rd 417,Coarsegold,93614,559-683-8008,37.21178633,-119.68987847
-13336164.3053,4426398.6953,61,Active,Madera County Station 9,MDC 9,Rolling Hills,FSA,MDC,MMU,Madera,COUNTY,A,P,41016 Ave 11,Madera,93638,559-435-5658,36.90876909,-119.80080227
-13364480.4324,4434357.2864,62,Active,Madera City Station 56,MDR 56,Madera City Station 56,FSA,MDR,MMU,Madera,CITY,A,P,317 N Lake St,Madera,93637,559-661-5499,36.96591315,-120.05517037
-13367656.4834,4432085.3064,63,Active,Madera City Station 57,MDR 57,Madera City Station 57,FSA,MDR,MMU,Madera,CITY,A,P,200 S Schnoor Ave,Madera,93638,559-661-5499,36.94960432,-120.08370132
-13349436.1453,4515471.8797,64,Active,Midpines Company 21,MPA 21,Midpines,FSL,MPA,MMU,Mariposa,COUNTY,L,V,6364 Hwy 140,Midpines,95345,209-966-7651,37.54588094,-119.92002524
-13356177.917,4508458.0151,65,Active,Mariposa Company 22,MRI 22,Mariposa County Fire,FSL,MRI,MMU,Mariposa,COUNTY,L,V,5273 Hwy 49,Mariposa,95338,209-966-2212,37.49590843,-119.9805876
-13367879.8079,4500415.1568,66,Active,Catheys Valley Company 23,MPA 23,Catheys Valley,FSL,MPA,MMU,Mariposa,COUNTY,L,V,2820 Hwy 140,Catheys Valley,95306,209-966-5611,37.43856336,-120.08570748
-13393029.2928,4530440.871,67,Active,Don Pedro Company 24,MPA 24,Don Pedro,FSL,MPA,MMU,Mariposa,COUNTY,L,V,9729 Merced Falls Rd,La Grange,95329,209-852-9910,37.65242032,-120.31162914
-13362592.9646,4510302.5394,68,Active,Mt Bullion Airport Company 25,MPA 25,Mt Bullion Airport,FSL,MPA,MMU,Mariposa,COUNTY,L,V,5021 Macready Wy,Mariposa,95338,209-742-6081,37.50905358,-120.03821496
-13380213.6633,4538599.7442,69,Active,Coulterville Company 26,MPA 26,Coulterville,FSL,MPA,MMU,Mariposa,COUNTY,L,V,10293 Ferry Rd,Coulterville,95311,209-878-3127,37.7104255,-120.19650439
-13338072.7395,4509618.1907,70,Active,Lushmeadows Company 29,MPA 29,Lushmeadows,FSL,MPA,MMU,Mariposa,COUNTY,L,V,6008 Monte Vista Ln,Mariposa,95338,209-742-7505,37.50417677,-119.81794603
-13372988.5022,4543641.8122,71,Active,Greeley Hill Company 31,MPA 31,Greeley Hill,FSL,MPA,MMU,Mariposa,COUNTY,L,V,10332 Fiske Rd,Coulterville,95311,209-878-3202,37.7462492,-120.13159966
-13328961.1172,4504007.8777,72,Active,Ponderosa Basin Company 32,MPA 32,Ponderosa Basin,FSL,MPA,MMU,Mariposa,COUNTY,L,V,5618 Creel Rd,Mariposa,95338,209-742-7432,37.46418465,-119.73609493
-13318357.2736,4505510.2331,73,Active,Fish Camp Company 33,MPA 33,Fish Camp,FSL,MPA,MMU,Mariposa,COUNTY,L,V,7731 Summit,Fish Camp,93623,209-683-7223,37.47489601,-119.64083898
-13345326.2302,4503925.1492,74,Active,Bootjack Company 37,MPA 37,Bootjack,FSL,MPA,MMU,Mariposa,COUNTY,L,V,3883 Bootjack Ln,Mariposa,95338,209-742-7122,37.46359478,-119.88310524
-13420675.1915,4481283.6421,75,Active,Franklin/Beachwood/McSwain Fire Station 61,MRD 61,Franklin/Beachwood/McSwain,FSA,MRD,MMU,Merced,COUNTY,A,P,961 Gurr Rd,Merced,95341,209-384-7027,37.30198019,-120.55997648
-13426660.5115,4493174.6755,76,Active,Winton Fire Station 63,MRD 63,Winton,FSA,MRD,MMU,Merced,COUNTY,A,P,6825 N Winton Way,Winton,95388,209-358-2842,37.38690159,-120.61374352
-13432699.0199,4498112.1151,77,Active,Cressey Fire Station 64,MRD 64,Cressey,FSA,MRD,MMU,Merced,COUNTY,A,P,9255 Cressey Way,Cressey,95312,209-394-8211,37.42213475,-120.66798837
-13407026.7687,4511805.67,78,Active,Snelling Fire Station 65,MRD 65,Snelling,FSA,MRD,MMU,Merced,COUNTY,A,P,15974 Lewis St,Snelling,95369,209-563-6661,37.51976407,-120.43737061
-13452761.7777,4447755.6055,79,Active,Los Banos Fire Station 71,MRD 71,Los Banos,FSA,MRD,MMU,Merced,COUNTY,A,P,525 H Street,Los Banos,93635,209-826-2895,37.06201859,-120.84821519
-13471843.8192,4452164.6565,80,Active,Santa Nella Fire Station 72,MRD 72,Santa Nella,FSA,MRD,MMU,Merced,COUNTY,A,P,29190 W Centinella Rd,Santa Nella,95332,209-826-6339,37.0936179,-121.01963208
-13469853.0154,4474938.3075,81,Active,Gustine Fire Station 74,MRD 74,Gustine,FSA,MRD,MMU,Merced,COUNTY,A,P,686 3Rd St,Gustine,95322,209-854-6804,37.25662489,-121.00174839
-13429198.217,4445644.5573,82,Active,Dos Palos Wye Fire Station 75,MRD 75,Dos Palos Wye,FSA,MRD,MMU,Merced,COUNTY,A,P,8047 W Dairy Ln,Dos Palos,93620,209-387-4223,37.04688422,-120.63654012
-13428253.2334,4437033.5964,83,Active,Dos Palos Fire Station 76,MRD 76,Dos Palos City,FSA,MRD,MMU,Merced,COUNTY,A,P,1540 Golden Gate Ave,Dos Palos,93620,209-392-2081,36.98511992,-120.62805119
-13412458.2163,4479722.4769,84,Active,Merced Fire Station 81,MRD 81,Merced,FSA,MRD,MMU,Merced,COUNTY,A,P,735 Martin Luther King Jr Blvd,Merced,95340,209-385-7336,37.29082379,-120.48616213
-13413159.0231,4457849.2852,85,Active,El Nido Fire Station 83,MRD 83,El Nido,FSA,MRD,MMU,Merced,COUNTY,A,P,10537 S Hwy 59,El Nido,95317,209-722-8452,37.13433967,-120.49245759
-13386086.0764,4471285.6881,86,Active,Le Grand Fire Station 84,MRD 84,Le Grand,FSA,MRD,MMU,Merced,COUNTY,A,P,3875 Santa Fe Ave,Le Grand,95333,209-389-4868,37.23050416,-120.24925717
-13407766.6601,4484504.1251,87,Active,McKee Fire Station 85,MRD 85,McKee,FSA,MRD,MMU,Merced,COUNTY,A,P,3360 N Mckee Rd,Merced,95340,209-723-4510,37.32498918,-120.44401717
-13394061.0674,4479742.6284,88,Active,Planada Fire Station 86,MRD 86,Planada,FSA,MRD,MMU,Merced,COUNTY,A,P,9234 E Broadway,Planada,95365,209-382-0502,37.2909678,-120.32089773
-13444950.8336,4499261.8456,89,Active,Delhi Fire Station 91,MRD 91,Delhi,FSA,MRD,MMU,Merced,COUNTY,A,P,16056 W Acacia St,Delhi,95315,209-634-5007,37.43033676,-120.77804828
-13436370.5649,4502331.4677,90,Active,Ballico Fire Station 92,MRD 92,Ballico,FSA,MRD,MMU,Merced,COUNTY,A,P,11284 Ballico Ave,Ballico,95303,209-634-1022,37.45223057,-120.70097042
-13453043.3165,4495448.2818,91,Active,Hilmar Fire Station 95,MRD 95,Hilmar,FSA,MRD,MMU,Merced,COUNTY,A,P,20021 W Falke St,Hilmar,95324,209-634-7070,37.40312793,-120.85074429
-13438775.2735,4492904.8667,92,Active,Livingston Fire Station 96,MRD 96,Livingston,FSA,MRD,MMU,Merced,COUNTY,A,P,1430 C Street,Livingston,95334,209-394-7919,37.38497579,-120.72257228
-13453066.2327,4484848.2009,93,Active,Stevinson Fire Station 97,MRD 97,Stevinson,FSA,MRD,MMU,Merced,COUNTY,A,P,2738 Lander Ave,Stevinson,95374,209-634-7086,37.32744706,-120.85095015
-13375387.503,4451933.7475,94,Active,Madera County Station 5,CWF 5,CCWF,FSA,CWF,MMU,Madera,STATE,A,P,23370 Rd 22,Chowchilla,93610,559-665-5531,37.09196326,-120.15315025
-12934452.8504,3844900.8004,95,Active,San Diego County Fire Jucumba Station #43,SDF Jacumba ST# 43,Station #43,FSA,SDU,SDU,San Diego,COUNTY,A,C,1255 Jucumba Street,Jacumba,91934,619-766-4535,32.61944695,-116.19216687
-12945284.3126,3851552.8943,96,Active,San Diego Fire Authority Boulevarde Station #47,BLV Boulevard Vol ST#47,,FSAB,SDU,SDU,San Diego,COUNTY,A,C,39223 Highway 94,Boulevard,91905,619-766-4633,32.6697641,-116.28946755
-12965577.4886,3843162.1228,97,Active,Campo Reservation Station,CBK Campo Tribal,,FSL,SDU,SDU,San Diego,TRIBAL,F,C,31577 Highway 94,Campo,91906,619-478-5516,32.60629076,-116.47176425
-12969100.7807,3853003.3067,98,Active,San Diego County Fire Lake Morena Station #42,SDF Lake Morena ST#42,Station #42,FSA,SDU,SDU,San Diego,COUNTY,A,P,29690 Oak Drive,Campo,91906,619-478-5960,32.68073143,-116.50341453
-12960091.7722,3876415.9859,99,Active,San Diego County Fire Mt. Laguna #49,MLG Mt. Laguna Vol ST#49,Station #49,FSA,SDU,SDU,San Diego,COUNTY,A,V,Sunrise Highway,Luguna,91962,619-473-8281,32.85758027,-116.42248523
-12972034.8475,3871733.9947,100,Active,San Diego County Fire Pine Valley Station #44,SDF Pine Valley ST#44,Station #44,FSA,SDU,SDU,San Diego,COUNTY,A,C,28850 Old Highway 80,Pine Valley,91962,619-473-8445,32.82224273,-116.5297717
-12981666.8877,3876948.5415,101,Active,San Diego County Fire Descanso #45,SDF Descanso ST#45,Station #45,FSA,SDU,SDU,San Diego,FIRE DISTRICT,A,C,9718 River Road,Descanso,91916,619-445-4731,32.86159887,-116.61629779
-12983146.7828,3839386.29,102,Decommissioned,San Diego County Fire Tecate CLOSED,SDF Tecate ST#38,,FSA,SDU,SDU,San Diego,COUNTY,A,V,440 Tecate Road,Tecate,91980,619-478-9005,32.57771317,-116.62959191
-12982148.8006,3843279.9437,103,Decommissioned,San Diego County Fire Potrero #39 CLOSED,SDF Potrero ST#39,Potrero #39,FSA,SDU,SDU,San Diego,COUNTY,L,V,25130 Highway 94,Potrero,91963,619-478-5900,32.60718235,-116.62062688
-12998429.113,3844974.3688,104,Decommissioned,San Diego County Fire Dulzura CLOSED,SDF Dulzura ST#35,Station #35,FSL,SDU,SDU,San Diego,COUNTY,L,V,1135 Commiunity Building,Dulzura,91917,619-468-3256,32.62000361,-116.76687542
-12996942.5578,3853229.9973,105,Active,San Diego County Fire Deerhorn #37,SDR Deerhorn Valley ST#37,Station 37,FSA,SDU,SDU,San Diego,COUNTY,A,P,2383 Honeysprings Road,Jamul,91935,619-468-3030,32.68244544,-116.75352146
-13003508.9208,3857958.7137,106,Active,San Diego County Fire Lee Valley CLOSED,SDF LEE ValleyST#34,,FSL,SDU,SDU,San Diego,FIRE DISTRICT,L,V,15781 Lyons Valley Road,Jamul,91935,,32.71819167,-116.81250811
-13009833.2176,3856145.384,107,Active,San Diego County Fire Jamul #36,SDF Jamul ST#36,Station #36,FSA,SDU,SDU,San Diego,COUNTY,A,P,14024 Peaceful Valley Rd,Jamul,91935,619-669-6580,32.70448569,-116.86932023
-12998588.4554,3863029.2945,108,Decommissioned,San Diego County Fire Lawson Valley CLOSED,SDF Lawson Valley ST#33,Station #33,FSL,SDU,SDU,San Diego,FIRE DISTRICT,L,V,3890 Montiel Trucktrail,Jamul,91935,619-659-0887,32.75650626,-116.76830681
-13005805.8033,3867559.035,109,Decommissioned,San Diego County Fire Dehesa CLOSED,SDR Dehesa ST#25,,FSL,SDU,SDU,San Diego,FIRE DISTRICT,L,V,5425 Dehesa Road ,El Cajon,92019,619-445-8464,32.79072019,-116.83314135
-13005466.9973,3871511.1363,110,Active,San Diego County Fire Harbison Canyon #24,SDF Harbison Cayon ST#24,Station #24,FSA,SDU,SDU,San Diego,COUNTY,A,P,551 Harbinson Canyon Rd,El Cajon,92019,619-445-5001,32.82056036,-116.83009781
-13015697.9012,3839489.2172,111,Decommissioned,San Diego County Fire Otay #22,SDF Otay ST#22,Station 22,FSA,SDU,SDU,San Diego,COUNTY,A,P,446 Alta Road,San Diego,92154,619-661-2820,32.57849232,-116.92200358
-13002124.9497,3895419.7418,112,Active,San Diego County Ramona #81,RAM Ramona ST#81,Station 81,FSA,SDU,SDU,San Diego,DISTRICT OTHER,A,P,24462 San Vicente Road,Ramona,92065,760-788-2229,33.00086745,-116.80007568
-13014141.5303,3896842.5198,113,Active,San Diego County Ramona #82,RAM Ramona ST#82,Station #82,FSA,SDU,SDU,San Diego,DISTRICT OTHER,A,C,3410 Dye Road,Ramona,92065,760-788-2269,33.01158577,-116.90802246
-13009355.4493,3900194.7469,114,Active,San Diego County Ramona  #80,RAM Ramona,Station #80,FSA,SDU,SDU,San Diego,DISTRICT OTHER,A,C,829 San Vicente Road,Ramona,92065,760-788-2222,33.03683419,-116.86502837
-12998626.0756,3905039.9493,115,Active,San Diego County Fire Intermountain #85,SDF Intermountain #85,Station #85,FSA,SDU,SDU,San Diego,COUNTY,A,P,25858 Highway 78,Ramona,92065,760-789-3710,33.07331468,-116.76864476
-12978283.984,3894299.365,116,Active,Julian- Cuyamaca FPD,JVF Cuyamca ST#57,Station #57,FSA,SDU,SDU,San Diego,COUNTY,L,V,34560 Engineers Rd,Julian,92036,760-765-418,32.9924263,-116.58590864
-12977723.246,3903770.1472,117,Active,Julian-Cuyamaca FPD #56,Julian ST#56,Station #56,FSA,SDU,SDU,San Diego,COUNTY,L,P,3407 Hwy 79,Julian,92036,760-765-1510,33.08185667,-116.60425889
-12961843.8562,3905569.3203,118,Active,San Diego County Fire Shelter Valley #62,SDF Shelter Valley ST#53,Station #53,FSA,SDU,SDU,San Diego,COUNTY,L,V,7241 Hardscramble Rd,Sheleter Valley,92004,760-765-2893,33.07729948,-116.43822446
-12971604.8189,3923304.9921,119,Active,San Diego County Fire Ranchita #58,SDF Ranchita ST#58,Station #58,FSA,SDU,SDU,San Diego,COUNTY,L,V,37370 Montezuma,Rancita,92025,760-782-3467,33.21069978,-116.52590868
-12928618.0744,3914373.043,120,Active,San Diego County Fire Station #61,SDF Ocotillo Wells ST#54,Station 54,FSA,SDU,SDU,San Diego,COUNTY,A,P,5997 Highway 78,Ocotillo Wells,92004,760-767-3183,33.14354273,-116.13975219
-12995358.96,3942180.092,121,Active,San Diego County Fire Sunshine Summit #59,SDF Sunshine Summit ST#59,Station #59,FSA,SDU,SDU,San Diego,COUNTY,L,V,35227 Highway79,Warner Springs,92086,760-782-9113,33.35244738,-116.73929576
-12984808.2401,3931641.319,122,Active,Warner Springs FS #52,MVU Warner Springs FS #52,Station 52,FSB,SDU,SDU,San Diego,STATE,B,P,31049 Hwy 79,Warner Springs,92086,760-782-3555,33.27333204,-116.64451703
